runtime,test,cross_fs,cache,files,time,cpu_user,cpu_sys
bash,files-create-delete,false,none,1000,0.464,0.171,0.295
bash,npm-install,true,true,1791,5.313,0.090,0.075
bash,npm-install,true,false,1791,5.413,0.091,0.105
bash,files-find,true,none,12711,0.922,0.061,0.046
bash,files-create-delete,true,none,1000,6.364,0.483,1.171
bash,npm-install,false,true,1791,1.457,0.045,0.076
bash,npm-install,false,false,1791,1.928,0.090,0.090
bash,files-find,false,none,32722,0.083,0.061,0.031
bash,files-create-delete,false,none,1000,0.529,0.078,0.452
bash,npm-install,true,true,1791,5.095,0.075,0.091
bash,npm-install,true,false,1791,5.278,0.091,0.090
bash,files-find,true,none,12711,0.942,0.078,0.140
bash,files-create-delete,true,none,1000,6.925,0.154,1.484
bash,npm-install,false,true,1791,1.510,0.120,0.045
bash,npm-install,false,false,1791,1.968,0.150,0.061
bash,files-find,false,none,32722,0.072,0.030,0.046
bash,files-create-delete,false,none,1000,0.436,0.092,0.312
bash,npm-install,true,true,1791,4.960,0.075,0.060
bash,npm-install,true,false,1791,5.438,0.045,0.060
bash,files-find,true,none,12711,1.019,0.140,0.186
bash,files-create-delete,true,none,1000,6.782,0.593,0.984
bash,npm-install,false,true,1791,1.593,0.107,0.106
bash,npm-install,false,false,1791,2.270,0.045,0.030
bash,files-find,false,none,32722,0.074,0.031,0.031
bash,files-create-delete,false,none,1000,0.456,0.139,0.281
bash,npm-install,true,true,1791,5.800,0.060,0.105
bash,npm-install,true,false,1791,5.879,0.151,0.075
bash,files-find,true,none,12711,0.956,0.046,0.140
bash,files-create-delete,true,none,1000,6.539,0.514,0.984
bash,npm-install,false,true,1791,1.516,0.030,0.122
bash,npm-install,false,false,1791,1.970,0.091,0.106
bash,files-find,false,none,32722,0.070,0.046,0.031
bash,files-create-delete,false,none,1000,0.466,0.154,0.280
bash,npm-install,true,true,1791,5.429,0.076,0.120
bash,npm-install,true,false,1791,5.355,0.061,0.060
bash,files-find,true,none,12711,0.934,0.093,0.186
bash,files-create-delete,true,none,1000,6.457,0.545,1.123
powershell,npm-install,false,true,1791,1.5547581,,
powershell,npm-install,false,false,1791,2.4051602,,
powershell,files-find,false,none,32722,0.0777513,0.015625,0.0625
powershell,files-create-delete,false,none,1000,0.3341513,0.09375,0.234375
powershell,npm-install,true,true,1791,9.1103312,,
powershell,npm-install,true,false,1791,11.0623661,,
powershell,files-find,true,none,12711,0.3303786,0,0.0625
powershell,files-create-delete,true,none,1000,2.4618597,0.171875,0.515625
powershell,npm-install,false,true,1791,1.5237525,,
powershell,npm-install,false,false,1791,2.2935375,,
powershell,files-find,false,none,32722,0.0758297,0.015625,0.0625
powershell,files-create-delete,false,none,1000,0.3526472,0.125,0.21875
powershell,npm-install,true,true,1791,8.7942908,,
powershell,npm-install,true,false,1791,9.6879824,,
powershell,files-find,true,none,12711,0.2768489,0.046875,0.0625
powershell,files-create-delete,true,none,1000,2.4426987,0.078125,0.359375
powershell,npm-install,false,true,1791,1.5583118,,
powershell,npm-install,false,false,1791,2.5300943,,
powershell,files-find,false,none,32722,0.0817107,0.03125,0.046875
powershell,files-create-delete,false,none,1000,0.3491921,0.125,0.21875
powershell,npm-install,true,true,1791,8.5815796,,
powershell,npm-install,true,false,1791,9.5418365,,
powershell,files-find,true,none,12711,0.2704125,0.015625,0.046875
powershell,files-create-delete,true,none,1000,2.4021093,0.109375,0.390625
powershell,npm-install,false,true,1791,1.5127605,,
powershell,npm-install,false,false,1791,2.5641175,,
powershell,files-find,false,none,32722,0.0739765,0,0.078125
powershell,files-create-delete,false,none,1000,0.3534508,0.078125,0.25
powershell,npm-install,true,true,1791,8.4866385,,
powershell,npm-install,true,false,1791,9.6889771,,
powershell,files-find,true,none,12711,0.2753269,0.015625,0.0625
powershell,files-create-delete,true,none,1000,2.5702492,0.078125,0.53125
powershell,npm-install,false,true,1791,1.5747376,,
powershell,npm-install,false,false,1791,2.3642531,,
powershell,files-find,false,none,32722,0.073628,0.03125,0.046875
powershell,files-create-delete,false,none,1000,0.3461258,0.140625,0.171875
powershell,npm-install,true,true,1791,8.6528295,,
powershell,npm-install,true,false,1791,9.2480624,,
powershell,files-find,true,none,12711,0.2567585,0,0.0625
powershell,files-create-delete,true,none,1000,2.5338148,0.1875,0.375
powershell,npm-install,false,true,1791,1.528044,,
powershell,npm-install,false,false,1791,2.4856423,,
powershell,files-find,false,none,32722,0.0743091,0.0625,0.015625
powershell,files-create-delete,false,none,1000,0.3549699,0.078125,0.265625
powershell,npm-install,true,true,1791,8.6845767,,
powershell,npm-install,true,false,1791,9.5237491,,
powershell,files-find,true,none,12711,0.4323211,0.09375,0.09375
powershell,files-create-delete,true,none,1000,3.4987422,0.328125,0.890625
powershell,npm-install,false,true,1791,1.6083243,,
powershell,npm-install,false,false,1791,2.6014129,,
powershell,files-find,false,none,32722,0.2904781,0.078125,0.125
powershell,files-create-delete,false,none,1000,0.9329937,0.15625,0.78125
powershell,npm-install,true,true,1791,10.8198095,,
powershell,npm-install,true,false,1791,11.1186482,,
powershell,files-find,true,none,12711,0.4314381,0.03125,0.109375
powershell,files-create-delete,true,none,1000,3.2690416,0.25,1.03125
powershell,npm-install,false,true,1791,2.0913859,,
powershell,npm-install,false,false,1791,3.2243538,,
powershell,files-find,false,none,32722,0.2000854,0.125,0.078125
powershell,files-create-delete,false,none,1000,0.9339498,0.25,0.6875
powershell,npm-install,true,true,1791,10.4970778,,
powershell,npm-install,true,false,1791,11.0511493,,
powershell,files-find,true,none,12711,0.3666256,0.0625,0.109375
powershell,files-create-delete,true,none,1000,3.4394672,0.453125,1.03125
powershell,npm-install,false,true,1791,2.0638117,,
powershell,npm-install,false,false,1791,3.2398339,,
powershell,files-find,false,none,32722,0.2079409,0.078125,0.140625
powershell,files-create-delete,false,none,1000,0.9684369,0.28125,0.671875
powershell,npm-install,true,true,1791,12.3556163,,
powershell,npm-install,true,false,1791,11.6728268,,
powershell,files-find,true,none,12711,0.4437983,0.046875,0.09375
powershell,files-create-delete,true,none,1000,3.8769887,0.3125,0.84375
powershell,npm-install,false,true,1791,2.0563227,,
powershell,npm-install,false,false,1791,3.2422319,,
powershell,files-find,false,none,32722,0.207285,0.15625,0.046875
powershell,files-create-delete,false,none,1000,0.922752,0.21875,0.65625
powershell,npm-install,true,true,1791,11.7717484,,
powershell,npm-install,true,false,1791,12.412433,,
powershell,files-find,true,none,12711,0.4215249,0.078125,0.109375
powershell,files-create-delete,true,none,1000,3.5266747,0.1875,0.921875
bash,npm-install,false,true,1773,2.125,0.688,0.530
bash,npm-install,false,false,1773,3.956,1.089,0.552
bash,files-find,false,none,12693,0.006,0.000,0.006
bash,files-create-delete,false,none,1000,0.027,0.004,0.023
bash,npm-install,true,true,1773,10.735,1.507,1.018
bash,npm-install,true,false,1773,11.461,2.287,1.101
bash,files-find,true,none,32704,0.494,0.000,0.025
bash,files-create-delete,true,none,1000,6.134,0.016,0.183
bash,npm-install,false,true,1773,0.764,0.650,0.373
bash,npm-install,false,false,1773,2.433,0.998,0.537
bash,files-find,false,none,12693,0.007,0.000,0.007
bash,files-create-delete,false,none,1000,0.026,0.001,0.026
bash,npm-install,true,true,1773,10.834,1.337,1.045
bash,npm-install,true,false,1773,11.425,2.353,1.249
bash,files-find,true,none,32704,0.561,0.007,0.024
bash,files-create-delete,true,none,1000,6.169,0.026,0.169
bash,npm-install,false,true,1773,0.727,0.713,0.361
bash,npm-install,false,false,1773,2.390,1.059,0.548
bash,files-find,false,none,12693,0.006,0.000,0.006
bash,files-create-delete,false,none,1000,0.027,0.001,0.028
bash,npm-install,true,true,1773,11.508,1.379,1.283
bash,npm-install,true,false,1773,11.406,2.358,1.309
bash,files-find,true,none,32704,0.529,0.006,0.022
bash,files-create-delete,true,none,1000,7.596,0.052,0.144
bash,npm-install,false,true,1773,0.763,0.722,0.354
bash,npm-install,false,false,1773,2.356,1.022,0.524
bash,files-find,false,none,12693,0.007,0.007,0.000
bash,files-create-delete,false,none,1000,0.027,0.005,0.023
bash,npm-install,true,true,1773,12.077,1.496,1.450
bash,npm-install,true,false,1773,12.475,2.234,1.320
bash,files-find,true,none,32704,0.552,0.011,0.018
bash,files-create-delete,true,none,1000,5.713,0.033,0.162
bash,npm-install,false,true,1773,0.852,0.754,0.372
bash,npm-install,false,false,1773,3.233,1.167,0.575
bash,files-find,false,none,12693,0.006,0.003,0.003
bash,files-create-delete,false,none,1000,0.026,0.004,0.023
bash,npm-install,true,true,1773,11.949,1.475,1.100
bash,npm-install,true,false,1773,11.388,2.330,1.298
bash,files-find,true,none,32704,0.519,0.004,0.024
bash,files-create-delete,true,none,1000,5.855,0.029,0.192
bash,npm-install,false,true,1773,0.767,0.654,0.375
bash,npm-install,false,false,1773,3.470,1.114,0.557
bash,files-find,false,none,12693,0.007,0.007,0.000
bash,files-create-delete,false,none,1000,0.027,0.001,0.027
bash,npm-install,true,true,1773,11.416,1.432,1.303
bash,npm-install,true,false,1773,11.276,2.283,1.355
bash,files-find,true,none,32704,0.564,0.004,0.026
bash,files-create-delete,true,none,1000,7.385,0.012,0.197
bash,npm-install,false,true,1773,0.741,0.657,0.376
bash,npm-install,false,false,1773,3.327,1.107,0.585
bash,files-find,false,none,12693,0.007,0.000,0.007
bash,files-create-delete,false,none,1000,0.028,0.004,0.025
bash,npm-install,true,true,1773,11.474,1.544,1.151
bash,npm-install,true,false,1773,12.119,2.137,1.331
bash,files-find,true,none,32704,0.552,0.010,0.020
bash,files-create-delete,true,none,1000,6.157,0.028,0.163
bash,npm-install,false,true,1773,0.727,0.682,0.351
bash,npm-install,false,false,1773,2.656,1.192,0.505
bash,files-find,false,none,12693,0.007,0.000,0.007
bash,files-create-delete,false,none,1000,0.026,0.000,0.027
bash,npm-install,true,true,1773,12.842,1.550,1.311
bash,npm-install,true,false,1773,10.993,2.239,1.257
bash,files-find,true,none,32704,0.593,0.006,0.025
bash,files-create-delete,true,none,1000,7.136,0.026,0.180
bash,npm-install,false,true,1773,0.701,0.626,0.387
bash,npm-install,false,false,1773,6.212,1.117,0.577
bash,files-find,false,none,12693,0.006,0.000,0.006
bash,files-create-delete,false,none,1000,0.026,0.000,0.027
bash,npm-install,true,true,1773,11.235,1.604,1.127
bash,npm-install,true,false,1773,12.873,2.522,1.208
bash,files-find,true,none,32704,0.532,0.006,0.021
bash,files-create-delete,true,none,1000,5.633,0.011,0.172
bash,npm-install,false,true,1773,0.734,0.653,0.361
bash,npm-install,false,false,1773,3.619,1.131,0.475
bash,files-find,false,none,12693,0.006,0.000,0.006
bash,files-create-delete,false,none,1000,0.026,0.000,0.028
bash,npm-install,true,true,1773,11.185,1.476,1.212
bash,npm-install,true,false,1773,12.637,2.266,1.370
bash,files-find,true,none,32704,0.513,0.003,0.023
bash,files-create-delete,true,none,1000,6.382,0.029,0.195
